
14612|3D Monster Maze|Russell Marks|1997|Arcade Game: Maze|/pub/sinclair/games/m/MonsterMaze3D.tap.zip|8
25676|3D Noughts and Crosses|ZX Computing|1983|Game: Board|/pub/sinclair/games/n/NoughtsAndCrosses3D.tap.zip|8
10027|3D Pacman|Freddy Kristiansen|1983|Arcade Game: Maze|/pub/sinclair/games/p/Pacman3D.z80.zip|10
3589|3D Painter|CDS Microsystems|1983|Arcade Game: Action|/pub/sinclair/games/p/Painter3D.tap.zip|8
3589|3D Painter|CDS Microsystems|1983|Arcade Game: Action|/pub/sinclair/games/p/Painter3D.tzx.zip|8
3717|3D Pinball|Mastertronic Plus|1989|Arcade Game: Pinball|/pub/sinclair/games/p/Pinball3D.tzx.zip|8
3717|3D Pinball|Mastertronic Plus|1989|Arcade Game: Pinball|/pub/sinclair/games/p/Pinball3D.tap.zip|8
3826|3D Pool|Firebird Software Ltd|1989|Sport Game: Action|/pub/sinclair/games/p/Pool3D.tap.zip|8
3826|3D Pool|Firebird Software Ltd|1989|Sport Game: Action|/pub/sinclair/games/p/Pool3D.tzx.zip|8
3826|3D Pool|Firebird Software Ltd|1989|Sport Game: Action|/pub/sinclair/games/p/Pool3D(Kixx).tzx.zip|8
3826|3D Pool|Firebird Software Ltd|1989|Sport Game: Action|/zxdb/sinclair/entries/0003826/3DPool(FrenchInstructions).tzx.zip|8
3954|3D Pyramid|Green Fish Software Enterprise|1983|Arcade Game: Maze|/pub/sinclair/games/p/Pyramid3D.tap.zip|8
3966|3D Quadracube|Artic Computing Ltd|1983|Game: Board|/pub/sinclair/games/q/Quadracube3D.tap.zip|8
3966|3D Quadracube|Artic Computing Ltd|1983|Game: Board|/pub/sinclair/games/q/Quadracube3D.tzx.zip|8
4393|3D Seiddab Attack|Hewson Consultants Ltd|1984|Arcade Game: Shoot-em-up|/pub/sinclair/games/s/SeiddabAttack3D.tzx.zip|8
4393|3D Seiddab Attack|Hewson Consultants Ltd|1984|Arcade Game: Shoot-em-up|/zxdb/sinclair/entries/0004393/3DSeiddabAttack(ZXData).tzx.zip|8
